iter	Passed	Remaining
0	57	56949
1	57	28630
2	57	19185
3	57	14428
4	58	11602
5	58	9718
6	58	8368
7	59	7357
8	59	6571
9	59	5933
10	60	5419
11	60	4992
12	61	4632
13	61	4322
14	61	4060
15	62	3823
16	62	3614
17	62	3429
18	63	3264
19	63	3114
20	63	2979
21	64	2856
22	64	2744
23	64	2641
24	65	2547
25	65	2459
26	66	2378
27	67	2341
28	67	2265
29	68	2208
30	68	2146
31	69	2087
32	69	2032
33	69	1982
34	70	1933
35	70	1887
36	70	1843
37	71	1802
38	71	1762
39	71	1725
40	72	1686
41	72	1649
42	72	1613
43	72	1579
44	72	1547
45	73	1516
46	73	1486
47	73	1458
48	73	1430
49	73	1404
50	74	1378
51	74	1354
52	74	1331
53	74	1308
54	74	1286
55	75	1265
56	75	1244
57	75	1225
58	75	1206
59	75	1187
60	76	1170
61	76	1153
62	76	1136
63	76	1120
64	76	1104
65	76	1089
66	77	1074
67	77	1060
68	77	1046
69	77	1033
70	77	1019
71	78	1007
72	78	994
73	78	982
74	78	971
75	78	959
76	79	948
77	85	1004
78	85	993
79	85	981
80	85	970
81	85	959
82	85	949
83	86	939
84	86	929
85	86	919
86	86	910
87	87	903
88	89	914
89	89	906
90	90	899
91	90	891
92	90	884
93	90	877
94	91	870
95	91	863
96	92	856
97	92	850
98	92	843
99	93	837
100	93	831
101	93	824
102	94	818
103	94	813
104	94	807
105	95	801
106	95	796
107	95	790
108	96	785
109	96	779
110	96	772
111	96	767
112	97	762
113	97	757
114	97	752
115	98	747
116	98	743
117	98	738
118	99	733
119	99	729
120	99	724
121	100	720
122	100	716
123	100	711
124	101	707
125	101	703
126	101	699
127	102	695
128	103	698
129	103	693
130	103	689
131	104	686
132	108	708
133	108	703
134	109	698
135	109	694
136	109	689
137	109	684
138	109	680
139	110	675
140	110	671
141	110	667
142	110	662
143	110	658
144	111	654
145	111	650
146	111	646
147	111	642
148	111	638
149	111	634
150	112	630
151	112	626
152	112	622
153	112	619
154	112	615
155	113	611
156	113	607
157	113	604
158	113	600
159	113	597
160	113	594
161	114	590
162	114	589
163	115	587
164	115	584
165	115	582
166	116	579
167	116	576
168	116	574
169	117	571
170	117	568
171	117	565
172	117	562
173	117	560
174	118	557
175	118	555
176	119	553
177	119	552
178	120	550
179	120	548
180	120	546
181	121	544
182	121	542
183	121	541
184	122	538
185	122	536
186	123	534
187	123	532
188	123	530
189	124	528
190	124	526
191	124	526
192	125	524
193	125	523
194	126	521
195	126	519
196	127	517
197	127	516
198	127	514
199	128	512
200	128	510
201	128	508
202	129	507
203	129	505
204	129	503
205	130	501
206	130	499
207	130	498
208	131	496
209	131	494
210	131	493
211	132	491
212	132	489
213	132	487
214	133	486
215	133	484
216	133	483
217	134	481
218	134	479
219	134	478
220	135	476
221	135	475
222	135	473
223	136	471
224	136	470
225	136	468
226	137	467
227	137	465
228	137	464
229	138	462
230	143	476
231	143	474
232	143	472
233	143	470
234	144	468
235	144	466
236	144	464
237	144	462
238	144	460
239	144	458
240	145	456
241	145	455
242	145	453
243	145	451
244	146	450
245	146	449
246	146	447
247	147	446
248	147	445
249	147	443
250	148	442
251	148	440
252	148	439
253	149	438
254	149	436
255	149	435
256	150	434
257	150	433
258	150	431
259	151	430
260	151	429
261	151	428
262	152	426
263	154	432
264	155	431
265	155	429
266	156	428
267	156	427
268	156	426
269	157	424
270	157	423
271	157	422
272	158	421
273	158	419
274	158	418
275	159	417
276	159	416
277	159	414
278	160	413
279	160	412
280	160	411
281	161	410
282	161	409
283	161	407
284	162	406
285	162	405
286	162	404
287	163	403
288	163	402
289	163	400
290	164	399
291	164	398
292	164	397
293	165	396
294	165	395
295	165	394
296	166	393
297	166	392
298	166	390
299	166	389
300	167	388
301	167	386
302	167	385
303	167	383
304	167	382
305	168	381
306	168	379
307	168	378
308	168	377
309	168	375
310	168	374
311	169	372
312	169	371
313	169	370
314	170	369
315	170	368
316	170	367
317	170	366
318	171	365
319	171	364
320	171	363
321	172	362
322	172	361
323	172	360
324	173	359
325	173	358
326	173	357
327	174	356
328	174	355
329	174	355
330	176	356
331	176	355
332	176	353
333	176	352
334	177	351
335	177	350
336	177	349
337	177	347
338	177	346
339	177	345
340	178	344
341	178	343
342	178	341
343	178	340
344	178	339
345	179	338
346	179	337
347	179	336
348	179	335
349	179	333
350	180	332
351	180	331
352	180	330
353	180	329
354	180	328
355	181	327
356	181	326
357	181	325
358	181	324
359	181	322
360	181	321
361	182	320
362	182	319
363	182	318
364	182	317
365	182	316
366	182	315
367	183	314
368	183	313
369	183	312
370	183	311
371	183	310
372	184	309
373	184	308
374	184	307
375	184	306
376	184	305
377	185	304
378	185	303
379	185	302
380	185	301
381	185	300
382	186	299
383	186	298
384	186	297
385	186	296
386	186	295
387	186	294
388	187	294
389	187	293
390	187	292
391	188	291
392	188	291
393	188	290
394	188	289
395	189	288
396	189	287
397	189	286
398	189	285
399	189	284
400	189	283
401	190	282
402	190	282
403	190	281
404	190	280
405	190	279
406	191	278
407	191	277
408	191	276
409	191	275
410	191	274
411	192	274
412	192	273
413	192	272
414	192	271
415	192	270
416	193	269
417	193	268
418	193	268
419	193	267
420	193	266
421	193	265
422	194	264
423	194	264
424	194	263
425	194	262
426	194	261
427	195	260
428	195	259
